Date_ID,Date,Year,Quarter,Month_Number,Month_Name,Year_Month,Fiscal_Year,Fiscal_Quarter
1,2023-01-01,2023,Q1,1,January,2023-01,FY2022-23,Q4
2,2023-01-02,2023,Q1,1,January,2023-01,FY2022-23,Q4
3,2023-01-03,2023,Q1,1,January,2023-01,FY2022-23,Q4
4,2023-01-04,2023,Q1,1,January,2023-01,FY2022-23,Q4
5,2023-01-05,2023,Q1,1,January,2023-01,FY2022-23,Q4
6,2023-01-06,2023,Q1,1,January,2023-01,FY2022-23,Q4
7,2023-01-07,2023,Q1,1,January,2023-01,FY2022-23,Q4
8,2023-01-08,2023,Q1,1,January,2023-01,FY2022-23,Q4
9,2023-01-09,2023,Q1,1,January,2023-01,FY2022-23,Q4
10,2023-01-10,2023,Q1,1,January,2023-01,FY2022-23,Q4
11,2023-01-11,2023,Q1,1,January,2023-01,FY2022-23,Q4
12,2023-01-12,2023,Q1,1,January,2023-01,FY2022-23,Q4
13,2023-01-13,2023,Q1,1,January,2023-01,FY2022-23,Q4
14,2023-01-14,2023,Q1,1,January,2023-01,FY2022-23,Q4
15,2023-01-15,2023,Q1,1,January,2023-01,FY2022-23,Q4
16,2023-01-16,2023,Q1,1,January,2023-01,FY2022-23,Q4
17,2023-01-17,2023,Q1,1,January,2023-01,FY2022-23,Q4
18,2023-01-18,2023,Q1,1,January,2023-01,FY2022-23,Q4
19,2023-01-19,2023,Q1,1,January,2023-01,FY2022-23,Q4
20,2023-01-20,2023,Q1,1,January,2023-01,FY2022-23,Q4
21,2023-01-21,2023,Q1,1,January,2023-01,FY2022-23,Q4
22,2023-01-22,2023,Q1,1,January,2023-01,FY2022-23,Q4
23,2023-01-23,2023,Q1,1,January,2023-01,FY2022-23,Q4
24,2023-01-24,2023,Q1,1,January,2023-01,FY2022-23,Q4
25,2023-01-25,2023,Q1,1,January,2023-01,FY2022-23,Q4
26,2023-01-26,2023,Q1,1,January,2023-01,FY2022-23,Q4
27,2023-01-27,2023,Q1,1,January,2023-01,FY2022-23,Q4
28,2023-01-28,2023,Q1,1,January,2023-01,FY2022-23,Q4
29,2023-01-29,2023,Q1,1,January,2023-01,FY2022-23,Q4
30,2023-01-30,2023,Q1,1,January,2023-01,FY2022-23,Q4
31,2023-01-31,2023,Q1,1,January,2023-01,FY2022-23,Q4
32,2023-02-01,2023,Q1,2,February,2023-02,FY2022-23,Q4
33,2023-02-02,2023,Q1,2,February,2023-02,FY2022-23,Q4
34,2023-02-03,2023,Q1,2,February,2023-02,FY2022-23,Q4
35,2023-02-04,2023,Q1,2,February,2023-02,FY2022-23,Q4
36,2023-02-05,2023,Q1,2,February,2023-02,FY2022-23,Q4
37,2023-02-06,2023,Q1,2,February,2023-02,FY2022-23,Q4
38,2023-02-07,2023,Q1,2,February,2023-02,FY2022-23,Q4
39,2023-02-08,2023,Q1,2,February,2023-02,FY2022-23,Q4
40,2023-02-09,2023,Q1,2,February,2023-02,FY2022-23,Q4
41,2023-02-10,2023,Q1,2,February,2023-02,FY2022-23,Q4
42,2023-02-11,2023,Q1,2,February,2023-02,FY2022-23,Q4
43,2023-02-12,2023,Q1,2,February,2023-02,FY2022-23,Q4
44,2023-02-13,2023,Q1,2,February,2023-02,FY2022-23,Q4
45,2023-02-14,2023,Q1,2,February,2023-02,FY2022-23,Q4
46,2023-02-15,2023,Q1,2,February,2023-02,FY2022-23,Q4
47,2023-02-16,2023,Q1,2,February,2023-02,FY2022-23,Q4
48,2023-02-17,2023,Q1,2,February,2023-02,FY2022-23,Q4
49,2023-02-18,2023,Q1,2,February,2023-02,FY2022-23,Q4
50,2023-02-19,2023,Q1,2,February,2023-02,FY2022-23,Q4
51,2023-02-20,2023,Q1,2,February,2023-02,FY2022-23,Q4
52,2023-02-21,2023,Q1,2,February,2023-02,FY2022-23,Q4
53,2023-02-22,2023,Q1,2,February,2023-02,FY2022-23,Q4
54,2023-02-23,2023,Q1,2,February,2023-02,FY2022-23,Q4
55,2023-02-24,2023,Q1,2,February,2023-02,FY2022-23,Q4
56,2023-02-25,2023,Q1,2,February,2023-02,FY2022-23,Q4
57,2023-02-26,2023,Q1,2,February,2023-02,FY2022-23,Q4
58,2023-02-27,2023,Q1,2,February,2023-02,FY2022-23,Q4
59,2023-02-28,2023,Q1,2,February,2023-02,FY2022-23,Q4
60,2023-03-01,2023,Q1,3,March,2023-03,FY2022-23,Q4
61,2023-03-02,2023,Q1,3,March,2023-03,FY2022-23,Q4
62,2023-03-03,2023,Q1,3,March,2023-03,FY2022-23,Q4
63,2023-03-04,2023,Q1,3,March,2023-03,FY2022-23,Q4
64,2023-03-05,2023,Q1,3,March,2023-03,FY2022-23,Q4
65,2023-03-06,2023,Q1,3,March,2023-03,FY2022-23,Q4
66,2023-03-07,2023,Q1,3,March,2023-03,FY2022-23,Q4
67,2023-03-08,2023,Q1,3,March,2023-03,FY2022-23,Q4
68,2023-03-09,2023,Q1,3,March,2023-03,FY2022-23,Q4
69,2023-03-10,2023,Q1,3,March,2023-03,FY2022-23,Q4
70,2023-03-11,2023,Q1,3,March,2023-03,FY2022-23,Q4
71,2023-03-12,2023,Q1,3,March,2023-03,FY2022-23,Q4
72,2023-03-13,2023,Q1,3,March,2023-03,FY2022-23,Q4
73,2023-03-14,2023,Q1,3,March,2023-03,FY2022-23,Q4
74,2023-03-15,2023,Q1,3,March,2023-03,FY2022-23,Q4
75,2023-03-16,2023,Q1,3,March,2023-03,FY2022-23,Q4
76,2023-03-17,2023,Q1,3,March,2023-03,FY2022-23,Q4
77,2023-03-18,2023,Q1,3,March,2023-03,FY2022-23,Q4
78,2023-03-19,2023,Q1,3,March,2023-03,FY2022-23,Q4
79,2023-03-20,2023,Q1,3,March,2023-03,FY2022-23,Q4
80,2023-03-21,2023,Q1,3,March,2023-03,FY2022-23,Q4
81,2023-03-22,2023,Q1,3,March,2023-03,FY2022-23,Q4
82,2023-03-23,2023,Q1,3,March,2023-03,FY2022-23,Q4
83,2023-03-24,2023,Q1,3,March,2023-03,FY2022-23,Q4
84,2023-03-25,2023,Q1,3,March,2023-03,FY2022-23,Q4
85,2023-03-26,2023,Q1,3,March,2023-03,FY2022-23,Q4
86,2023-03-27,2023,Q1,3,March,2023-03,FY2022-23,Q4
87,2023-03-28,2023,Q1,3,March,2023-03,FY2022-23,Q4
88,2023-03-29,2023,Q1,3,March,2023-03,FY2022-23,Q4
89,2023-03-30,2023,Q1,3,March,2023-03,FY2022-23,Q4
90,2023-03-31,2023,Q1,3,March,2023-03,FY2022-23,Q4
91,2023-04-01,2023,Q2,4,April,2023-04,FY2023-24,Q1
92,2023-04-02,2023,Q2,4,April,2023-04,FY2023-24,Q1
93,2023-04-03,2023,Q2,4,April,2023-04,FY2023-24,Q1
94,2023-04-04,2023,Q2,4,April,2023-04,FY2023-24,Q1
95,2023-04-05,2023,Q2,4,April,2023-04,FY2023-24,Q1
96,2023-04-06,2023,Q2,4,April,2023-04,FY2023-24,Q1
