Payment_ID,Policy_ID,Customer_ID,Payment_Date,Payment_Amount,Payment_Method,Payment_Status,Payment_Type
PAY000001,POL000001,C04880,2024-08-18,4696.67,Credit Card,Paid,Initial Payment
PAY000002,POL000001,C04880,2024-10-17,4696.67,Auto-Debit,Paid,Premium
PAY000003,POL000001,C04880,2024-11-16,4696.67,Debit Card,Paid,Premium
PAY000004,POL000001,C04880,2025-02-14,4696.67,Cheque,Paid,Premium
PAY000005,POL000001,C04880,2025-06-14,4696.67,UPI,Paid,Premium
PAY000006,POL000001,C04880,2025-07-14,4696.67,Debit Card,Paid,Premium
PAY000007,POL000001,C04880,2025-08-13,4696.67,UPI,Paid,Premium
PAY000008,POL000002,C04234,2025-08-04,17960.0,UPI,Paid,Initial Payment
PAY000009,POL000003,C00229,2024-11-10,106520.0,Cheque,Paid,Initial Payment
PAY000010,POL000004,C01425,2023-08-16,1085.0,Net Banking,Paid,Initial Payment
PAY000011,POL000004,C01425,2023-11-14,1085.0,Auto-Debit,Paid,Premium
PAY000012,POL000004,C01425,2023-12-14,1085.0,Credit Card,Paid,Premium
PAY000013,POL000004,C01425,2024-04-12,1063.53,UPI,Failed,Premium
PAY000014,POL000004,C01425,2024-06-11,1085.0,UPI,Paid,Premium
PAY000015,POL000004,C01425,2024-08-10,1085.0,Credit Card,Paid,Premium
PAY000016,POL000005,C00717,2024-12-10,31880.0,Cheque,Paid,Initial Payment
PAY000017,POL000006,C04861,2025-09-21,5204.17,Auto-Debit,Overdue,Initial Payment
PAY000018,POL000007,C02315,2023-07-17,6660.0,Credit Card,Paid,Initial Payment
PAY000019,POL000007,C02315,2024-07-16,6660.0,Debit Card,Paid,Renewal
PAY000020,POL000007,C02315,2025-07-16,6660.0,Debit Card,Paid,Renewal
PAY000021,POL000008,C02611,2025-02-27,46240.0,Net Banking,Paid,Initial Payment
PAY000022,POL000009,C04889,2024-04-28,10425.0,Debit Card,Paid,Initial Payment
PAY000023,POL000009,C04889,2024-10-27,10425.0,Debit Card,Paid,Premium
PAY000024,POL000009,C04889,2025-01-26,10425.0,Cheque,Paid,Premium
PAY000025,POL000009,C04889,2025-04-27,10425.0,Net Banking,Paid,Premium
PAY000026,POL000009,C04889,2025-07-27,10378.03,Credit Card,Failed,Premium
PAY000027,POL000010,C04813,2024-10-14,12692.61,Auto-Debit,Failed,Initial Payment
PAY000028,POL000011,C00120,2023-08-02,137876.86,Auto-Debit,Failed,Initial Payment
PAY000029,POL000012,C03825,2023-11-08,13500.0,Net Banking,Paid,Initial Payment
PAY000030,POL000012,C03825,2024-11-07,13500.0,Cheque,Paid,Renewal
PAY000031,POL000013,C03008,2025-04-23,19940.0,Auto-Debit,Paid,Initial Payment
PAY000032,POL000014,C02901,2024-11-11,4470.83,Credit Card,Paid,Initial Payment
PAY000033,POL000014,C02901,2025-03-11,4470.83,Auto-Debit,Paid,Premium
PAY000034,POL000014,C02901,2025-04-10,4470.83,Debit Card,Paid,Premium
PAY000035,POL000014,C02901,2025-07-09,4470.83,Credit Card,Paid,Premium
