Policy_ID,Customer_ID,Policy_Type,Policy_Start_Date,Policy_End_Date,Premium_Amount,Sum_Assured,Payment_Frequency,Policy_Status,Policy_Term_Years,Risk_Category,Agent_ID,Acquisition_Channel
POL000001,C04880,Health,2024-08-18,2025-08-18,56360.0,1500000.0,Monthly,Expired,1,Low,A0081,Agent
POL000002,C04234,Motor,2025-08-04,2026-08-04,17960.0,513200.0,Annually,Active,1,Medium,A0008,Agent
POL000003,C00229,Life,2024-11-10,2039-11-10,106520.0,7149000.0,Annually,Active,15,Medium,A0089,Agent
POL000004,C01425,Motor,2023-08-16,2024-08-15,13020.0,437600.0,Monthly,Expired,1,Low,A0074,Online
POL000005,C00717,Motor,2024-12-10,2025-12-10,31880.0,911000.0,Annually,Expired,1,Medium,A0047,Online
POL000006,C04861,Motor,2025-09-21,2026-09-21,62450.0,1784200.0,Monthly,Lapsed,1,Medium,A0037,Agent
POL000007,C02315,Home,2023-07-17,2028-07-17,6660.0,3559300.0,Annually,Active,5,Low,A0068,Online
POL000008,C02611,Health,2025-02-27,2026-02-27,46240.0,1000000.0,Annually,Active,1,Low,A0027,Corporate
POL000009,C04889,Health,2024-04-28,2027-04-28,41700.0,750000.0,Quarterly,Active,3,Medium,A0035,Online
POL000010,C04813,Home,2024-10-14,2034-10-14,12710.0,6794400.0,Annually,Lapsed,10,Low,A0066,Agent
POL000011,C00120,Life,2023-08-02,2053-08-02,139920.0,8109000.0,Annually,Lapsed,30,Low,A0071,Online
POL000012,C03825,Home,2023-11-08,2033-11-08,13500.0,7220900.0,Annually,Active,10,Low,A0095,Online
POL000013,C03008,Motor,2025-04-23,2026-04-23,19940.0,569700.0,Annually,Active,1,Medium,A0047,Bancassurance
POL000014,C02901,Life,2024-11-11,2034-11-11,53650.0,3063900.0,Monthly,Active,10,Low,A0039,Agent
POL000015,C03769,Motor,2024-02-09,2025-02-08,53950.0,1541300.0,Annually,Expired,1,Medium,A0033,Bancassurance
POL000016,C02697,Home,2024-03-09,2039-03-09,9520.0,5091500.0,Annually,Active,15,Low,A0097,Online
POL000017,C00959,Home,2024-03-04,2039-03-04,4770.0,2167900.0,Annually,Active,15,Medium,A0071,Online
POL000018,C03199,Health,2023-08-10,2024-08-10,20000.0,500000.0,Annually,Expired,1,Medium,A0051,Corporate
